City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Puerto Leguizamo,CO,75.61,overcast clouds,-0.1934,-74.7819,la casona de juancho
539,Pasni,PK,77.94,clear sky,25.2631,63.471,Kashmiri Hotal
540,Palmas Bellas,PA,82.35,light rain,9.2319,-80.0867,Antigua Residencia Galván
547,Bahia Blanca,AR,85.55,clear sky,-38.7196,-62.2724,Hotel Argos
550,Bandarbeyla,SO,78.96,few clouds,9.4942,50.8122,JABIR HOTEL
560,Ternate,ID,81.48,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
561,Vila Velha,BR,80.55,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
562,Kota Belud,MY,76.44,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
568,Waw,SS,81.48,broken clouds,7.7029,27.9953,Universal Gab Hotel
569,Voh,NC,80.87,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
576,Corrente,BR,81.19,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
578,Dolores,AR,84.63,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
581,Claveria,PH,77.65,few clouds,18.6074,121.0832,Casa Grand Inn By The Sea
583,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
587,Hobyo,SO,80.02,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
589,Acoyapa,NI,89.69,overcast clouds,11.9703,-85.1711,Hotel y Restaurante Los Robles
600,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
601,Trinidad,BO,85.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
608,Alta Floresta,BR,82.81,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
612,Ratnagiri,IN,75.49,clear sky,16.9833,73.3,Hotel Landmark
613,Bima,ID,78.24,overcast clouds,-8.4667,118.7167,Lambitu Hotel
619,Dhidhdhoo,MV,80.98,overcast clouds,6.8833,73.1,Dhidhoo beach
620,Pontal Do Parana,BR,78.75,clear sky,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
621,Ler,SS,78.26,few clouds,8.3018,30.1418,Leer Humanitarian Hub
626,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
630,Omboue,GA,77.16,broken clouds,-1.5746,9.2618,Hotel Olako
632,Daru,PG,77.52,overcast clouds,-9.0763,143.2092,Daru Lodge
633,Fare,PF,78.82,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
634,Zaraza,VE,80.2,broken clouds,9.3503,-65.3245,Hotel Zaraza
637,Come,BJ,79.47,overcast clouds,6.4076,1.882,Groupe Ecart Hotel
644,Nisia Floresta,BR,77.77,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
647,Arima,TT,82.44,moderate rain,10.6333,-61.2833,Refine Home Style Ltd.
651,Maningrida,AU,82.26,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
662,Matara,LK,75.74,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
663,Bentiu,SS,77.49,broken clouds,9.2333,29.8333,Mandela hôtel
670,General Roca,AR,86.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
671,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
672,Marsh Harbour,BS,80.06,few clouds,26.5412,-77.0636,Abaco Beach Resort
673,Monrovia,LR,78.55,light rain,6.3005,-10.7969,Sunset Inn
679,Male,MV,81.16,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
682,Bourail,NC,77.59,scattered clouds,-21.5667,165.4833,Motel Allamanda
689,Kibala,TD,78.03,few clouds,9.1104,18.3463,Prasant Hotels
690,Ca Mau,VN,75.49,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
691,Camocim,BR,80.11,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
692,Tagusao,PH,79.2,overcast clouds,9.1924,117.8141,Caycay future beach resort
696,Mandera,KE,84.4,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
697,Sungairaya,ID,78.44,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
703,Harper,LR,77.95,light rain,4.375,-7.7169,Screensaver
705,Conceicao Do Araguaia,BR,82.0,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
